pool_frac,seed,n_served,n_requests,frac_pqc
0.6066666666666667,29,3,3,0.6666666666666666
0.508888888888889,0,3,3,0.3333333333333333
0.508888888888889,1,3,3,0.6666666666666666
0.508888888888889,2,3,3,0.3333333333333333
0.508888888888889,3,3,3,1.0
0.508888888888889,4,3,3,1.0
0.508888888888889,5,3,3,0.6666666666666666
0.508888888888889,6,3,3,0.6666666666666666
0.508888888888889,7,3,3,0.3333333333333333
0.508888888888889,8,3,3,0.3333333333333333
0.508888888888889,9,3,3,0.6666666666666666
0.508888888888889,10,3,3,0.6666666666666666
0.508888888888889,11,3,3,0.6666666666666666
0.508888888888889,12,3,3,0.6666666666666666
0.508888888888889,13,3,3,1.0
0.508888888888889,14,3,3,0.6666666666666666
0.508888888888889,15,3,3,0.6666666666666666
0.508888888888889,16,3,3,0.6666666666666666
0.508888888888889,17,3,3,1.0
0.508888888888889,18,3,3,0.6666666666666666
0.508888888888889,19,3,3,0.6666666666666666
0.508888888888889,20,3,3,0.0
0.508888888888889,21,3,3,1.0
0.508888888888889,22,3,3,0.3333333333333333
0.508888888888889,23,3,3,0.0
0.508888888888889,24,3,3,1.0
0.508888888888889,25,3,3,0.6666666666666666
0.508888888888889,26,3,3,0.3333333333333333
0.508888888888889,27,3,3,0.0
0.508888888888889,28,3,3,1.0
0.508888888888889,29,3,3,0.6666666666666666
0.4111111111111111,0,3,3,0.3333333333333333
0.4111111111111111,1,3,3,0.6666666666666666
0.4111111111111111,2,3,3,0.3333333333333333
0.4111111111111111,3,3,3,1.0
0.4111111111111111,4,3,3,1.0
0.4111111111111111,5,3,3,0.6666666666666666
0.4111111111111111,6,3,3,0.6666666666666666
0.4111111111111111,7,3,3,0.3333333333333333
0.4111111111111111,8,3,3,0.3333333333333333
0.4111111111111111,9,3,3,0.6666666666666666
0.4111111111111111,10,3,3,0.6666666666666666
0.4111111111111111,11,3,3,0.6666666666666666
0.4111111111111111,12,3,3,0.6666666666666666
0.4111111111111111,13,3,3,1.0
0.4111111111111111,14,3,3,0.6666666666666666
0.4111111111111111,15,3,3,0.6666666666666666
0.4111111111111111,16,3,3,0.6666666666666666
0.4111111111111111,17,3,3,1.0
0.4111111111111111,18,3,3,0.6666666666666666
0.4111111111111111,19,3,3,0.6666666666666666
0.4111111111111111,20,3,3,0.0
0.4111111111111111,21,3,3,1.0
0.4111111111111111,22,3,3,0.3333333333333333
0.4111111111111111,23,3,3,0.0
0.4111111111111111,24,3,3,1.0
0.4111111111111111,25,3,3,0.6666666666666666
0.4111111111111111,26,3,3,0.3333333333333333
0.4111111111111111,27,3,3,0.0
0.4111111111111111,28,3,3,1.0
0.4111111111111111,29,3,3,0.6666666666666666
0.31333333333333335,0,3,3,0.3333333333333333
0.31333333333333335,1,3,3,0.6666666666666666
0.31333333333333335,2,3,3,0.3333333333333333
0.31333333333333335,3,3,3,1.0
0.31333333333333335,4,3,3,1.0
0.31333333333333335,5,3,3,0.6666666666666666
0.31333333333333335,6,3,3,0.6666666666666666
0.31333333333333335,7,3,3,0.3333333333333333
0.31333333333333335,8,3,3,0.3333333333333333
0.31333333333333335,9,3,3,0.6666666666666666
0.31333333333333335,10,3,3,0.6666666666666666
0.31333333333333335,11,3,3,0.6666666666666666
0.31333333333333335,12,3,3,0.6666666666666666
0.31333333333333335,13,3,3,1.0
0.31333333333333335,14,3,3,0.6666666666666666
0.31333333333333335,15,3,3,0.6666666666666666
0.31333333333333335,16,3,3,0.6666666666666666
0.31333333333333335,17,3,3,1.0
0.31333333333333335,18,3,3,0.6666666666666666
0.31333333333333335,19,3,3,0.6666666666666666
0.31333333333333335,20,3,3,0.0
0.31333333333333335,21,3,3,1.0
0.31333333333333335,22,3,3,0.3333333333333333
0.31333333333333335,23,3,3,0.0
0.31333333333333335,24,3,3,1.0
0.31333333333333335,25,3,3,0.6666666666666666
0.31333333333333335,26,3,3,0.3333333333333333
0.31333333333333335,27,3,3,0.0
0.31333333333333335,28,3,3,1.0
0.31333333333333335,29,3,3,0.6666666666666666
0.2155555555555555,0,3,3,0.3333333333333333
0.2155555555555555,1,3,3,0.6666666666666666
0.2155555555555555,2,3,3,0.3333333333333333
0.2155555555555555,3,3,3,1.0
0.2155555555555555,4,3,3,1.0
0.2155555555555555,5,3,3,0.6666666666666666
0.2155555555555555,6,3,3,0.6666666666666666
0.2155555555555555,7,3,3,0.3333333333333333
0.2155555555555555,8,3,3,0.3333333333333333
0.2155555555555555,9,3,3,0.6666666666666666
0.2155555555555555,10,3,3,0.6666666666666666
0.2155555555555555,11,3,3,0.6666666666666666
0.2155555555555555,12,3,3,0.6666666666666666
0.2155555555555555,13,3,3,1.0
