w_R,w_L,seed,mean_risk,mean_latency_ms,mean_pool_pressure
0.2,1.5,16,0.06324916530595862,3.7124999999999995,0.13349061153781394
0.2,1.5,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,1.5,18,0.11409537795510927,4.15,0.16116901656058252
0.2,1.5,19,0.1885574566786252,5.2875000000000005,0.10257780861126153
0.2,1.5,20,0.2158232919573013,6.025,0.1498827283387018
0.2,1.5,21,0.14347905447022125,4.15,0.08804322612681986
0.2,1.5,22,0.15856427253023678,3.425,0.22704334420967257
0.2,1.5,23,0.23382611004666565,4.375,0.3407136773519557
0.2,1.5,24,0.04086038702327043,3.5875,0.0
0.2,1.5,25,0.09430861630675283,4.325,0.052879821804600796
0.2,1.5,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,1.5,27,0.23380507960141206,4.3875,0.45257642280155846
0.2,1.5,28,0.09465056974166193,3.3,0.08262600031727582
0.2,1.5,29,0.09314060979797129,4.6625,0.18522274292495877
0.2,2.0,0,0.17149465055857852,4.175,0.40139450673123767
0.2,2.0,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,2.0,2,0.13576597970923693,6.199999999999999,0.17875349866155127
0.2,2.0,3,0.051392260134973736,3.5875,0.0
0.2,2.0,4,0.08971962099403684,3.4124999999999996,0.08778714614378752
0.2,2.0,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,2.0,6,0.06972857028299455,4.225,0.1328548034522788
0.2,2.0,7,0.11532226335187255,4.15,0.20040073198640312
0.2,2.0,8,0.1463115651537549,6.425000000000001,0.1459493086188529
0.2,2.0,9,0.10703764740743761,4.05,0.1807977380571279
0.2,2.0,10,0.11503985997413094,3.925,0.11992342427137699
0.2,2.0,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,2.0,12,0.059728739113267176,4.324999999999999,0.14282693487538567
0.2,2.0,13,0.04623967659203382,2.05,0.0
0.2,2.0,14,0.10945716365455556,4.0375,0.13802171482521283
0.2,2.0,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
0.2,2.0,16,0.06324916530595862,3.7124999999999995,0.13349061153781394
0.2,2.0,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,2.0,18,0.11409537795510927,4.15,0.16116901656058252
0.2,2.0,19,0.11271019383776744,4.95,0.05128890430563077
0.2,2.0,20,0.2158232919573013,6.025,0.1498827283387018
0.2,2.0,21,0.14347905447022125,4.15,0.08804322612681986
0.2,2.0,22,0.15856427253023678,3.425,0.22704334420967257
0.2,2.0,23,0.23382611004666565,4.375,0.3407136773519557
0.2,2.0,24,0.04086038702327043,3.5875,0.0
0.2,2.0,25,0.09430861630675283,4.325,0.052879821804600796
0.2,2.0,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,2.0,27,0.23380507960141206,4.3875,0.45257642280155846
0.2,2.0,28,0.09465056974166193,3.3,0.08262600031727582
0.2,2.0,29,0.09314060979797129,4.6625,0.18522274292495877
0.2,3.0,0,0.17149465055857852,4.175,0.40139450673123767
0.2,3.0,1,0.12275306677496955,3.1875,0.10162458917489434
0.2,3.0,2,0.13576597970923693,6.199999999999999,0.17875349866155127
0.2,3.0,3,0.051392260134973736,3.5875,0.0
0.2,3.0,4,0.061883686287406835,3.1875,0.03310554146251826
0.2,3.0,5,0.06844347418458316,4.0375,0.12678679181583316
0.2,3.0,6,0.06972857028299455,4.225,0.1328548034522788
0.2,3.0,7,0.11532226335187255,4.15,0.20040073198640312
0.2,3.0,8,0.1463115651537549,6.425000000000001,0.1459493086188529
0.2,3.0,9,0.06587498969900599,3.7125000000000004,0.10828213253666102
0.2,3.0,10,0.11503985997413094,3.925,0.11992342427137699
0.2,3.0,11,0.07396095574963364,3.9250000000000003,0.07672706402970318
0.2,3.0,12,0.059728739113267176,4.324999999999999,0.14282693487538567
0.2,3.0,13,0.04623967659203382,2.05,0.0
0.2,3.0,14,0.056857826451901065,3.8125,0.10732986083585674
0.2,3.0,15,0.12809375509834411,3.1874999999999996,0.09853010950941135
0.2,3.0,16,0.06324916530595862,3.7124999999999995,0.13349061153781394
0.2,3.0,17,0.06404248721552915,4.4375,0.06957334473037466
0.2,3.0,18,0.11409537795510927,4.15,0.16116901656058252
0.2,3.0,19,0.11271019383776744,4.95,0.05128890430563077
0.2,3.0,20,0.2158232919573013,6.025,0.1498827283387018
0.2,3.0,21,0.04062479911706821,3.5875000000000004,0.0
0.2,3.0,22,0.15856427253023678,3.425,0.22704334420967257
0.2,3.0,23,0.23382611004666565,4.375,0.3407136773519557
0.2,3.0,24,0.04086038702327043,3.5875,0.0
0.2,3.0,25,0.09430861630675283,4.325,0.052879821804600796
0.2,3.0,26,0.18845019243158492,3.0125,0.22639729100800485
0.2,3.0,27,0.23380507960141206,4.3875,0.45257642280155846
0.2,3.0,28,0.09465056974166193,3.3,0.08262600031727582
0.2,3.0,29,0.09314060979797129,4.6625,0.18522274292495877
0.5,0.2,0,0.1564161553710611,6.6625000000000005,0.3899444951066492
0.5,0.2,1,0.12275306677496955,3.1875,0.10162458917489434
