seed,solver,objective,runtime_s,violations,approximation_ratio
7,Greedy,1.803456717323897,2.59569933405146e-05,0,1.0
7,MILP,1.803456717323897,0.0011969139886787161,0,1.0
7,SimulatedAnnealing,1.803456717323897,0.014040969996131025,0,1.0
7,Q-Learning,1.803456717323897,0.047653140005422756,0,1.0
7,QAOA(p=2),1.803456717323897,4.568114451991278,0,1.0
8,Exact,1.2101203510822955,0.002361131992074661,0,1.0
8,Greedy,1.2101203510822955,2.82179971691221e-05,0,1.0
8,MILP,1.2101203510822955,0.001070762999006547,0,1.0
8,SimulatedAnnealing,1.2101203510822955,0.011619313998380676,0,1.0
8,Q-Learning,1.2113548547578858,0.05136770399985835,0,1.0010201495037137
8,QAOA(p=2),1.2101203510822955,4.431784450993291,0,1.0
9,Exact,1.307189902863115,0.002184263998060487,0,1.0
9,Greedy,1.307189902863115,2.8327995096333325e-05,0,1.0
9,MILP,1.307189902863115,0.0012429030030034482,0,1.0
9,SimulatedAnnealing,1.307189902863115,0.014847454003756866,0,1.0
9,Q-Learning,1.307189902863115,0.054146822993061505,0,1.0
9,QAOA(p=2),1.7818100137312172,3.160844323996571,0,1.3630842847152889
10,Exact,1.0952792287247917,0.002685519997612573,0,1.0
10,Greedy,1.0952792287247917,2.2962005459703505e-05,0,1.0
10,MILP,1.0952792287247917,0.0010990610026055947,0,1.0
10,SimulatedAnnealing,1.0952792287247917,0.012329614008194767,0,1.0
10,Q-Learning,1.0952792287247917,0.05868585599819198,0,1.0
10,QAOA(p=2),1.0952792287247917,4.1382809310016455,0,1.0
11,Exact,0.8456087887558823,0.0021538020082516596,0,1.0
11,Greedy,0.8456087887558823,2.9319009627215564e-05,0,1.0
11,MILP,0.8456087887558823,0.0014073100028326735,0,1.0
11,SimulatedAnnealing,0.8456087887558823,0.013104177996865474,0,1.0
11,Q-Learning,0.8456087887558823,0.0517767799901776,0,1.0
11,QAOA(p=2),0.8456087887558823,3.742794648002018,0,1.0
12,Exact,1.2429534116955097,0.0023262690083356574,0,1.0
12,Greedy,1.2429534116955097,2.4838998797349632e-05,0,1.0
12,MILP,1.2429534116955097,0.0012334479979472235,0,1.0
12,SimulatedAnnealing,1.2429534116955097,0.013895314012188464,0,1.0
12,Q-Learning,1.2429534116955097,0.04977361600322183,0,1.0
12,QAOA(p=2),2.2513441673427366,4.305316514000879,1,1.8112860435144416
13,Exact,0.5347604776195567,0.0019539030035957694,0,1.0
13,Greedy,0.5347604776195567,2.3509011953137815e-05,0,1.0
13,MILP,0.5347604776195567,0.001130589997046627,0,1.0
13,SimulatedAnnealing,0.5347604776195567,0.012520903997938149,0,1.0
13,Q-Learning,0.5347604776195567,0.05132360800052993,0,1.0
13,QAOA(p=2),0.5347604776195567,4.687394487991696,0,1.0
14,Exact,1.2428456681804363,0.0025287009921157733,0,1.0
14,Greedy,1.2428456681804363,2.190099621657282e-05,0,1.0
14,MILP,1.2428456681804363,0.0011462749971542507,0,1.0
14,SimulatedAnnealing,1.2428456681804363,0.012049319004290737,0,1.0
14,Q-Learning,1.2428456681804363,0.05132758199761156,0,1.0
14,QAOA(p=2),1.4377850160519188,3.7974263380019693,0,1.1568491992709597
15,Exact,1.0412530968870044,0.0021810649923281744,0,1.0
15,Greedy,1.0412530968870044,2.7147005312144756e-05,0,1.0
15,MILP,1.0412530968870044,0.0013197829975979403,0,1.0
15,SimulatedAnnealing,1.0412530968870044,0.01449512000544928,0,1.0
15,Q-Learning,1.0412530968870044,0.052967038995120674,0,1.0
15,QAOA(p=2),1.0719451490944891,2.9924702839925885,0,1.0294760729156471
16,Exact,1.2916859354236294,0.001987252995604649,0,1.0
16,Greedy,1.2916859354236294,2.1094994735904038e-05,0,1.0
16,MILP,1.2916859354236294,0.0010688259935704991,0,1.0
16,SimulatedAnnealing,1.2916859354236294,0.01167488501232583,0,1.0
16,Q-Learning,1.300013180419839,0.05138979099865537,0,1.0064468031801233
16,QAOA(p=2),2.2941325070583503,3.5129143749945797,1,1.7760760910553324
17,Exact,0.7894366446645336,0.002021777007030323,0,1.0
17,Greedy,0.7894366446645336,2.352100273128599e-05,0,1.0
17,MILP,0.7894366446645336,0.0010136560013052076,0,1.0
17,SimulatedAnnealing,0.7894366446645336,0.01195219499641098,0,1.0
17,Q-Learning,0.7894366446645336,0.049659513009828515,0,1.0
17,QAOA(p=2),1.2761742510768244,3.016335077001713,0,1.6165632286035152
18,Exact,0.8334148279514864,0.0022970530117163435,0,1.0
18,Greedy,0.8334148279514864,2.5402987375855446e-05,0,1.0
18,MILP,0.8334148279514864,0.0012746150023303926,0,1.0
18,SimulatedAnnealing,0.8334148279514864,0.014919092995114625,0,1.0
18,Q-Learning,0.8334148279514864,0.04872011700354051,0,1.0
18,QAOA(p=2),0.9526019106224908,3.3930231959966477,0,1.1430105137005582
19,Exact,1.2259474771039436,0.00248472900420893,0,1.0
19,Greedy,1.2259474771039436,2.863099507521838e-05,0,1.0
19,MILP,1.2259474771039436,0.0014243540063034743,0,1.0
19,SimulatedAnnealing,1.2259474771039436,0.01385879200825002,0,1.0
19,Q-Learning,1.2259474771039436,0.057412727997871116,0,1.0
