seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
21,6,SimulatedAnnealing,0.4636009111342112,0.01165920500352513,0,1.0
21,6,Exact,0.4636009111342112,9.54100105445832e-05,0,1.0
21,6,QAOA(p=1),0.4636009111342112,0.37808003899408504,0,1.0
21,6,QAOA(p=2),0.4636009111342112,0.43217585000093095,0,1.0
21,6,QAOA(p=3),0.4636009111342112,0.5979052740003681,0,1.0
22,6,Greedy,1.1167148331554841,1.2497010175138712e-05,0,1.0
22,6,MILP,1.1167148331554841,0.0012287910067243502,0,1.0
22,6,SimulatedAnnealing,1.1167148331554841,0.010390718001872301,0,1.0
22,6,Exact,1.1167148331554841,7.369399827439338e-05,0,1.0
22,6,QAOA(p=1),1.1167148331554841,0.29634334199363366,0,1.0
22,6,QAOA(p=2),1.1167148331554841,0.4318439659982687,0,1.0
22,6,QAOA(p=3),1.1167148331554841,0.5519651789945783,0,1.0
23,6,Greedy,0.9352721907315455,1.7746002413332462e-05,0,1.0
23,6,MILP,0.9352721907315455,0.0011376769980415702,0,1.0
23,6,SimulatedAnnealing,0.9352721907315455,0.012109539995435625,0,1.0
23,6,Exact,0.9352721907315455,0.00013196100189816207,0,1.0
23,6,QAOA(p=1),0.9352721907315455,0.2833851220057113,0,1.0
23,6,QAOA(p=2),0.9352721907315455,0.4447898310027085,0,1.0
23,6,QAOA(p=3),0.9352721907315455,0.5367554010008462,0,1.0
24,6,Greedy,0.6195002773836613,1.3577999197877944e-05,0,1.0
24,6,MILP,0.6195002773836613,0.0009909899963531643,0,1.0
24,6,SimulatedAnnealing,0.6195002773836613,0.011597918011830188,0,1.0
24,6,Exact,0.6195002773836613,9.633299487177283e-05,0,1.0
24,6,QAOA(p=1),0.6195002773836613,0.2769542150053894,0,1.0
24,6,QAOA(p=2),0.6195002773836613,0.41466922299878206,0,1.0
24,6,QAOA(p=3),0.6195002773836613,0.5139405109948711,0,1.0
25,6,Greedy,0.8788603745298751,1.228299515787512e-05,0,1.0
25,6,MILP,0.8788603745298751,0.001557483003125526,0,1.0
25,6,SimulatedAnnealing,0.8788603745298751,0.00966869700641837,0,1.0
25,6,Exact,0.8788603745298751,7.270400237757713e-05,0,1.0
25,6,QAOA(p=1),0.8788603745298751,0.3027135209995322,0,1.0
25,6,QAOA(p=2),0.8788603745298751,0.4566661179997027,0,1.0
25,6,QAOA(p=3),0.8788603745298751,0.4983852549921721,0,1.0
26,6,Greedy,0.58226390098603,3.1490999390371144e-05,0,1.0
26,6,MILP,0.58226390098603,0.0014553130022250116,0,1.0
26,6,SimulatedAnnealing,0.58226390098603,0.0102092739980435,0,1.0
26,6,Exact,0.58226390098603,0.0002084540028590709,0,1.0
26,6,QAOA(p=1),0.58226390098603,0.2834014319960261,0,1.0
26,6,QAOA(p=2),0.58226390098603,0.45810058899223804,0,1.0
26,6,QAOA(p=3),0.58226390098603,0.5044616609957302,0,1.0
27,6,Greedy,1.1052987163014762,1.2477001291699708e-05,0,1.0
27,6,MILP,1.1052987163014762,0.001184174994705245,0,1.0
27,6,SimulatedAnnealing,1.1052987163014762,0.01037467599962838,0,1.0
27,6,Exact,1.1052987163014762,7.971099694259465e-05,0,1.0
27,6,QAOA(p=1),1.1052987163014762,0.28859151899814606,0,1.0
27,6,QAOA(p=2),1.1052987163014762,0.3972923669934971,0,1.0
27,6,QAOA(p=3),1.1052987163014762,0.5283395760052372,0,1.0
28,6,Greedy,0.4638664027210737,1.3662007404491305e-05,0,1.0
28,6,MILP,0.4638664027210737,0.0011032740003429353,0,1.0
28,6,SimulatedAnnealing,0.4638664027210737,0.010840772010851651,0,1.0
28,6,Exact,0.4638664027210737,0.00011206998897250742,0,1.0
28,6,QAOA(p=1),0.4638664027210737,0.2841329119983129,0,1.0
28,6,QAOA(p=2),0.4638664027210737,0.3707899769942742,0,1.0
28,6,QAOA(p=3),0.4638664027210737,0.5301437099988107,0,1.0
29,6,Greedy,0.8430399585268766,1.4252000255510211e-05,0,1.0
29,6,MILP,0.8430399585268766,0.0011468879965832457,0,1.0
29,6,SimulatedAnnealing,0.8430399585268766,0.012782738005626015,0,1.0
