seed,attack_intensity,condition,availability,security_compliance,mean_risk_of_solution
8,0.625,QOPT_QTRACE,1.0,1.0,0.21714976220011392
8,0.75,Static,1.0,1.0,0.3633753485906847
8,0.75,TrustOnly,1.0,1.0,0.38714946005953643
8,0.75,QOPT_Oracle,1.0,1.0,0.23161604283382917
8,0.75,QOPT_QTRACE,1.0,1.0,0.22565672633265388
8,0.875,Static,1.0,1.0,0.41088186469613963
8,0.875,TrustOnly,1.0,1.0,0.441715450907445
8,0.875,QOPT_Oracle,1.0,1.0,0.2621053272546916
8,0.875,QOPT_QTRACE,1.0,1.0,0.25597949518454516
8,1.0,Static,1.0,1.0,0.44086409578544444
8,1.0,TrustOnly,1.0,1.0,0.4768817397403081
8,1.0,QOPT_Oracle,1.0,1.0,0.2689348233616338
8,1.0,QOPT_QTRACE,1.0,1.0,0.26543812221992047
9,0.0,Static,1.0,1.0,0.04679100102800657
9,0.0,TrustOnly,1.0,0.75,0.02029606043397052
9,0.0,QOPT_Oracle,1.0,1.0,0.04679100102800657
9,0.0,QOPT_QTRACE,1.0,1.0,0.05351052592908392
9,0.125,Static,1.0,1.0,0.07349501178855533
9,0.125,TrustOnly,1.0,0.75,0.029064140661180057
9,0.125,QOPT_Oracle,1.0,1.0,0.07349501178855533
9,0.125,QOPT_QTRACE,1.0,1.0,0.08464494387215447
9,0.25,Static,1.0,1.0,0.09121453271022281
9,0.25,TrustOnly,1.0,0.75,0.03584766678198482
9,0.25,QOPT_Oracle,1.0,1.0,0.081443909311122
9,0.25,QOPT_QTRACE,1.0,1.0,0.08594468904196961
9,0.375,Static,1.0,1.0,0.1134844663063706
9,0.375,TrustOnly,1.0,0.75,0.046046526631536765
9,0.375,QOPT_Oracle,1.0,1.0,0.10158365342257639
9,0.375,QOPT_QTRACE,1.0,1.0,0.11099181141114414
9,0.5,Static,1.0,1.0,0.1302125706351167
9,0.5,TrustOnly,1.0,0.75,0.052039687234928717
9,0.5,QOPT_Oracle,1.0,1.0,0.11641735591743647
9,0.5,QOPT_QTRACE,1.0,1.0,0.1242097395357408
9,0.625,Static,1.0,1.0,0.13569226417352626
9,0.625,TrustOnly,1.0,0.75,0.05883247555967282
9,0.625,QOPT_Oracle,1.0,1.0,0.12212877206519918
9,0.625,QOPT_QTRACE,1.0,1.0,0.11544861298149205
9,0.75,Static,1.0,1.0,0.17239950251038705
9,0.75,TrustOnly,1.0,1.0,0.3920119993453853
9,0.75,QOPT_Oracle,1.0,1.0,0.1541840470296906
9,0.75,QOPT_QTRACE,1.0,1.0,0.16231939991916
9,0.875,Static,1.0,1.0,0.18354447870202417
9,0.875,TrustOnly,1.0,1.0,0.42173035879871984
9,0.875,QOPT_Oracle,1.0,1.0,0.16428774795941253
