noise_strength,seed,best_sampled_energy,approximation_ratio,success_probability
0.25,9,0.8169000000000031,1.0000000000000033,0.0107421875
0.0,10,0.6446500000000004,1.0000000000000027,0.0556640625
0.005,10,0.6446500000000004,1.0000000000000027,0.04736328125
0.01,10,0.6446500000000004,1.0000000000000027,0.04443359375
0.02,10,0.6446500000000004,1.0000000000000027,0.0341796875
0.04,10,0.6446500000000004,1.0000000000000027,0.0166015625
0.08,10,0.6446500000000004,1.0000000000000027,0.01953125
0.15,10,0.6446500000000004,1.0000000000000027,0.01611328125
0.25,10,0.6446500000000004,1.0000000000000027,0.015625
0.0,11,0.8520000000000003,1.0,0.01123046875
0.005,11,0.8520000000000003,1.0,0.0126953125
0.01,11,0.8520000000000003,1.0,0.01220703125
0.02,11,0.8520000000000003,1.0,0.00927734375
0.04,11,0.8520000000000003,1.0,0.0166015625
0.08,11,0.8520000000000003,1.0,0.0166015625
0.15,11,0.8520000000000003,1.0,0.015625
0.25,11,0.8520000000000003,1.0,0.01513671875
0.0,12,0.5186500000000032,1.0000000000000078,0.00244140625
0.005,12,0.5186500000000032,1.0000000000000078,0.00439453125
0.01,12,0.5186500000000032,1.0000000000000078,0.00341796875
0.02,12,0.5186500000000032,1.0000000000000078,0.00634765625
0.04,12,0.5186500000000032,1.0000000000000078,0.0107421875
0.08,12,0.5186500000000032,1.0000000000000078,0.0166015625
0.15,12,0.5186500000000032,1.0000000000000078,0.017578125
0.25,12,0.5186500000000032,1.0000000000000078,0.015625
0.0,13,0.31129999999999924,1.0,0.0068359375
0.005,13,0.31129999999999924,1.0,0.005859375
0.01,13,0.31129999999999924,1.0,0.00634765625
0.02,13,0.31129999999999924,1.0,0.015625
0.04,13,0.31129999999999924,1.0,0.01220703125
0.08,13,0.31129999999999924,1.0,0.013671875
0.15,13,0.31129999999999924,1.0,0.017578125
0.25,13,0.31129999999999924,1.0,0.0185546875
0.0,14,0.6446500000000004,1.0000000000000027,0.0009765625
0.005,14,0.6446500000000004,1.0000000000000027,0.0009765625
0.01,14,0.6446500000000004,1.0000000000000027,0.0029296875
0.02,14,0.6446500000000004,1.0000000000000027,0.00439453125
0.04,14,0.6446500000000004,1.0000000000000027,0.00927734375
0.08,14,0.6446500000000004,1.0000000000000027,0.01171875
0.15,14,0.6446500000000004,1.0000000000000027,0.01220703125
0.25,14,0.6446500000000004,1.0000000000000027,0.015625
0.0,15,0.5186500000000032,1.0000000000000078,0.04052734375
0.005,15,0.5186500000000032,1.0000000000000078,0.0341796875
0.01,15,0.5186500000000032,1.0000000000000078,0.0234375
0.02,15,0.5186500000000032,1.0000000000000078,0.02880859375
0.04,15,0.5186500000000032,1.0000000000000078,0.0244140625
0.08,15,0.5186500000000032,1.0000000000000078,0.01611328125
0.15,15,0.5186500000000032,1.0000000000000078,0.0166015625
0.25,15,0.5186500000000032,1.0000000000000078,0.0185546875
0.0,16,0.5606499999999963,0.9999999999999952,0.01318359375
0.005,16,0.5606499999999963,0.9999999999999952,0.01611328125
0.01,16,0.5606499999999963,0.9999999999999952,0.013671875
0.02,16,0.5606499999999963,0.9999999999999952,0.017578125
0.04,16,0.5606499999999963,0.9999999999999952,0.02099609375
0.08,16,0.5606499999999963,0.9999999999999952,0.01416015625
