attack_intensity,seed,availability,security_compliance,mean_key_pool_frac,mean_risk,frac_qkd,frac_pqc,frac_hybrid
0.30000000000000004,1,1.0,1.0,0.5870501209311426,0.2643057198245778,0.25,0.75,0.0
0.30000000000000004,2,1.0,1.0,0.5865736137458085,0.266141857488529,0.5,0.5,0.0
0.30000000000000004,3,1.0,1.0,0.5830097436747781,0.2650049307139042,0.0,1.0,0.0
0.30000000000000004,4,1.0,1.0,0.5758401746264284,0.2639050741768198,0.0,0.75,0.25
0.30000000000000004,5,1.0,1.0,0.5896803234037965,0.2667417557561619,0.25,0.75,0.0
0.30000000000000004,6,1.0,1.0,0.5865213993009029,0.2635231031293463,0.25,0.75,0.0
0.30000000000000004,7,1.0,1.0,0.5842298348766468,0.25783464600910816,0.5,0.5,0.0
0.30000000000000004,8,1.0,1.0,0.5862315062681493,0.26351645306504273,0.25,0.5,0.25
0.30000000000000004,9,1.0,1.0,0.5873119941779181,0.26164581260682424,0.0,0.75,0.25
0.30000000000000004,10,1.0,1.0,0.5864445017903903,0.2615893013457099,0.25,0.75,0.0
0.30000000000000004,11,1.0,1.0,0.5949572132139085,0.260107986074893,0.25,0.75,0.0
0.30000000000000004,12,1.0,1.0,0.5948446481093372,0.26153301843717547,0.0,0.75,0.25
0.30000000000000004,13,1.0,1.0,0.5737657851108038,0.26771378196097134,0.0,1.0,0.0
0.30000000000000004,14,1.0,1.0,0.6008831804310335,0.26114204509122907,0.25,0.75,0.0
0.30000000000000004,15,1.0,1.0,0.5895262731402898,0.2619647409803781,0.25,0.75,0.0
0.30000000000000004,16,1.0,1.0,0.6013581127898666,0.2561508705618524,0.25,0.75,0.0
0.30000000000000004,17,1.0,1.0,0.5894599938293578,0.2582583974686155,0.25,0.75,0.0
0.30000000000000004,18,1.0,1.0,0.585474243657654,0.2663816807356104,0.5,0.5,0.0
0.30000000000000004,19,1.0,1.0,0.5905339906805521,0.2593937710517138,0.25,0.75,0.0
0.30000000000000004,20,1.0,1.0,0.5954750134818538,0.2606148551178862,0.75,0.25,0.0
0.30000000000000004,21,1.0,1.0,0.5907360472744693,0.2587891153150377,0.0,1.0,0.0
0.30000000000000004,22,1.0,1.0,0.5822959851568749,0.26188363782063806,0.0,0.5,0.5
0.30000000000000004,23,1.0,1.0,0.5980995376762676,0.25535265682105657,0.75,0.0,0.25
0.30000000000000004,24,1.0,1.0,0.5911275272559168,0.2603882544847429,0.0,1.0,0.0
0.30000000000000004,25,1.0,1.0,0.5817661354763344,0.260750153743976,0.25,0.75,0.0
0.30000000000000004,26,1.0,1.0,0.5794203503904157,0.2664727827958262,0.25,0.25,0.5
0.30000000000000004,27,1.0,1.0,0.592504872441008,0.26419027396527134,1.0,0.0,0.0
0.30000000000000004,28,1.0,1.0,0.5952083812161499,0.25788650373312594,0.25,0.75,0.0
0.30000000000000004,29,1.0,1.0,0.5796014741083977,0.26381864197506794,0.5,0.5,0.0
0.4,0,1.0,1.0,0.5105725483286643,0.305021419424245,0.25,0.25,0.5
0.4,1,1.0,1.0,0.5160668279081901,0.30676972399171865,0.25,0.75,0.0
0.4,2,1.0,1.0,0.5154314849944113,0.30884980460882794,0.5,0.5,0.0
0.4,3,1.0,1.0,0.5106796582330376,0.3073976847851749,0.0,1.0,0.0
0.4,4,1.0,1.0,0.5011202328352378,0.3065012560547192,0.0,0.75,0.25
0.4,5,1.0,1.0,0.5195737645383953,0.30931004618352437,0.25,0.75,0.0
0.4,6,1.0,1.0,0.5153618657345371,0.30567955220872023,0.25,0.75,0.0
0.4,7,1.0,1.0,0.5123064465021959,0.29982622503803663,0.5,0.5,0.0
0.4,8,1.0,1.0,0.5149753416908658,0.30554717166343287,0.25,0.5,0.25
0.4,9,1.0,1.0,0.5164159922372245,0.30366196681200436,0.0,0.75,0.25
0.4,10,1.0,1.0,0.5152593357205203,0.3037501114250326,0.25,0.75,0.0
0.4,11,1.0,1.0,0.5266096176185445,0.3019293753021125,0.25,0.75,0.0
0.4,12,1.0,1.0,0.5264595308124498,0.30337509491417514,0.0,0.75,0.25
0.4,13,1.0,1.0,0.49835438014773825,0.31093068785586153,0.0,1.0,0.0
0.4,14,1.0,1.0,0.5345109072413781,0.30269185297468326,0.25,0.75,0.0
0.4,15,1.0,1.0,0.5193683641870531,0.30387755803382743,0.25,0.75,0.0
0.4,16,1.0,1.0,0.5351441503864887,0.2975497250781864,0.25,0.75,0.0
0.4,17,1.0,1.0,0.5192799917724771,0.2997368280754028,0.0,0.75,0.25
0.4,18,1.0,1.0,0.5139656582102052,0.3089311526592725,0.5,0.5,0.0
0.4,19,1.0,1.0,0.5207119875740696,0.30126853010240556,0.25,0.75,0.0
0.4,20,1.0,1.0,0.5273000179758052,0.30174566933394514,0.75,0.25,0.0
0.4,21,1.0,1.0,0.520981396365959,0.30079010302423953,0.0,1.0,0.0
0.4,22,1.0,1.0,0.5097279802091667,0.304654348910946,0.0,0.5,0.5
0.4,23,1.0,1.0,0.5307993835683567,0.2968243606517502,0.25,0.0,0.75
0.4,24,1.0,1.0,0.5215033696745557,0.302143567210587,0.0,1.0,0.0
0.4,25,1.0,1.0,0.509021513968446,0.3027087154263598,0.25,0.75,0.0
0.4,26,1.0,1.0,0.5058938005205543,0.3091564605537461,0.25,0.25,0.5
0.4,27,1.0,1.0,0.5233398299213442,0.30618262102659466,0.25,0.0,0.75
0.4,28,1.0,1.0,0.5269445082881999,0.2997351017255367,0.25,0.75,0.0
0.4,29,1.0,1.0,0.5061352988111969,0.30669479397053856,0.25,0.5,0.25
0.5,0,1.0,1.0,0.43821568541083017,0.347432346564554,0.25,0.25,0.5
0.5,1,1.0,1.0,0.4450835348852378,0.34923372815885945,0.25,0.75,0.0
0.5,2,1.0,1.0,0.44428935624301413,0.351557751729127,0.5,0.5,0.0
0.5,3,1.0,1.0,0.4383495727912969,0.3497904388564457,0.0,1.0,0.0
0.5,4,1.0,1.0,0.4264002910440473,0.34909743793261844,0.0,0.75,0.25
0.5,5,1.0,1.0,0.4494672056729943,0.35187833661088685,0.0,0.75,0.25
0.5,6,1.0,1.0,0.4442023321681713,0.34783600128809417,0.25,0.75,0.0
0.5,7,1.0,1.0,0.44038305812774503,0.34181780406696516,0.5,0.5,0.0
0.5,8,1.0,1.0,0.44371917711358233,0.3475778902618229,0.25,0.5,0.25
0.5,9,1.0,1.0,0.44551999029653044,0.34567812101718454,0.0,0.75,0.25
0.5,10,1.0,1.0,0.4440741696506506,0.3459109215043551,0.25,0.75,0.0
0.5,11,1.0,1.0,0.45826202202318067,0.34375076452933195,0.25,0.75,0.0
0.5,12,1.0,1.0,0.4580744135155622,0.34521717139117497,0.0,0.75,0.25
0.5,13,1.0,1.0,0.42294297518467283,0.35414759375075167,0.0,1.0,0.0
0.5,14,1.0,1.0,0.4681386340517225,0.34424166085813745,0.25,0.75,0.0
0.5,15,1.0,1.0,0.4492104552338163,0.3457903750872767,0.25,0.75,0.0
0.5,16,1.0,1.0,0.468930187983111,0.33894857959452046,0.25,0.75,0.0
0.5,17,1.0,1.0,0.44909998971559634,0.3412152586821901,0.0,0.75,0.25
0.5,18,1.0,1.0,0.4424570727627567,0.3514806245829346,0.5,0.5,0.0
0.5,19,1.0,1.0,0.45088998446758694,0.34314328915309744,0.25,0.75,0.0
0.5,20,1.0,1.0,0.4591250224697564,0.34287648355000405,0.75,0.25,0.0
0.5,21,1.0,1.0,0.4512267454574488,0.34279109073344133,0.0,1.0,0.0
0.5,22,1.0,1.0,0.4371599752614583,0.34742506000125395,0.0,0.5,0.5
0.5,23,1.0,1.0,0.46349922946044575,0.3382960644824438,0.25,0.0,0.75
0.5,24,1.0,1.0,0.45187921209319465,0.3438988799364311,0.0,1.0,0.0
0.5,25,1.0,1.0,0.43627689246055745,0.3446672771087436,0.25,0.75,0.0
0.5,26,1.0,1.0,0.4323672506506929,0.35184013831166594,0.25,0.25,0.5
0.5,27,1.0,1.0,0.4541747874016802,0.3481749680879181,0.25,0.0,0.75
0.5,28,1.0,1.0,0.45868063536024994,0.34158369971794755,0.25,0.75,0.0
0.5,29,1.0,1.0,0.4326691235139962,0.34957094596600913,0.25,0.5,0.25
0.6000000000000001,0,1.0,1.0,0.36585882249299617,0.389843273704863,0.25,0.25,0.5
0.6000000000000001,1,1.0,1.0,0.3741002418622852,0.3916977323260003,0.25,0.75,0.0
0.6000000000000001,2,1.0,1.0,0.3731472274916169,0.3942656988494262,0.5,0.5,0.0
0.6000000000000001,3,1.0,1.0,0.36601948734955625,0.3921831929277165,0.0,1.0,0.0
0.6000000000000001,4,1.0,1.0,0.3516803492528566,0.39169361981051776,0.0,0.75,0.25
0.6000000000000001,5,1.0,1.0,0.37936064680759307,0.39444662703824945,0.0,0.75,0.25
0.6000000000000001,6,1.0,1.0,0.37304279860180556,0.38999245036746816,0.25,0.75,0.0
0.6000000000000001,7,1.0,1.0,0.368459669753294,0.38380938309589374,0.5,0.5,0.0
0.6000000000000001,8,1.0,1.0,0.37246301253629877,0.3896086088602131,0.25,0.5,0.25
0.6000000000000001,9,1.0,1.0,0.37462398835583655,0.38769427522236466,0.0,0.75,0.25
0.6000000000000001,10,1.0,1.0,0.37288900358078053,0.38807173158367775,0.25,0.75,0.0
0.6000000000000001,11,1.0,1.0,0.38991442642781676,0.3855721537565514,0.25,0.75,0.0
0.6000000000000001,12,1.0,1.0,0.3896892962186745,0.3870592478681747,0.0,0.75,0.25
0.6000000000000001,13,1.0,1.0,0.34753157022160736,0.39736449964564186,0.0,1.0,0.0
0.6000000000000001,14,1.0,1.0,0.40176636086206685,0.3857914687415918,0.25,0.75,0.0
0.6000000000000001,15,1.0,1.0,0.3790525462805795,0.387703192140726,0.25,0.75,0.0
0.6000000000000001,16,1.0,1.0,0.4027162255797331,0.38034743411085453,0.25,0.75,0.0
0.6000000000000001,17,1.0,1.0,0.37891998765871554,0.38269368928897746,0.0,0.75,0.25
0.6000000000000001,18,1.0,1.0,0.37094848731530794,0.3940300965065967,0.5,0.5,0.0
0.6000000000000001,19,1.0,1.0,0.3810679813611043,0.3850180482037895,0.25,0.75,0.0
0.6000000000000001,20,1.0,1.0,0.39095002696370756,0.3840072977660631,0.75,0.25,0.0
0.6000000000000001,21,1.0,1.0,0.3814720945489384,0.3847920784426431,0.0,1.0,0.0
0.6000000000000001,22,1.0,1.0,0.36459197031375,0.3901957710915619,0.0,0.5,0.5
0.6000000000000001,23,1.0,1.0,0.39619907535253496,0.37976776831313747,0.25,0.0,0.75
0.6000000000000001,24,1.0,1.0,0.38225505451183345,0.3856541926622753,0.0,1.0,0.0
0.6000000000000001,25,1.0,1.0,0.3635322709526689,0.38662583879112755,0.25,0.75,0.0
0.6000000000000001,26,1.0,1.0,0.3588407007808313,0.3945238160695859,0.25,0.25,0.5
0.6000000000000001,27,1.0,1.0,0.3850097448820161,0.39016731514924147,0.25,0.0,0.75
0.6000000000000001,28,1.0,1.0,0.39041676243229995,0.38343229771035836,0.25,0.75,0.0
0.6000000000000001,29,1.0,1.0,0.3592029482167954,0.3924470979614797,0.25,0.5,0.25
0.7000000000000001,0,1.0,1.0,0.2935019595751622,0.43225420084517197,0.25,0.25,0.5
0.7000000000000001,1,1.0,1.0,0.3031169488393328,0.43416173649314116,0.25,0.75,0.0
0.7000000000000001,2,1.0,1.0,0.30200509874021975,0.4369736459697253,0.0,0.5,0.5
0.7000000000000001,3,1.0,1.0,0.2936894019078156,0.4345759469989872,0.0,1.0,0.0
0.7000000000000001,4,1.0,1.0,0.2769604074616661,0.434289801688417,0.0,0.75,0.25
0.7000000000000001,5,1.0,1.0,0.30925408794219195,0.43701491746561194,0.0,0.75,0.25
0.7000000000000001,6,1.0,1.0,0.30188326503543983,0.432148899446842,0.25,0.75,0.0
0.7000000000000001,7,1.0,1.0,0.29653628137884297,0.4258009621248222,0.25,0.5,0.25
0.7000000000000001,8,1.0,1.0,0.3012068479590152,0.4316393274586033,0.25,0.5,0.25
0.7000000000000001,9,1.0,1.0,0.30372798641514265,0.4297104294275448,0.0,0.75,0.25
0.7000000000000001,10,1.0,1.0,0.3017038375109107,0.4302325416630003,0.0,0.75,0.25
0.7000000000000001,11,1.0,1.0,0.3215668308324529,0.4273935429837709,0.0,0.75,0.25
0.7000000000000001,12,1.0,1.0,0.3213041789217869,0.4289013243451743,0.0,0.75,0.25
0.7000000000000001,13,1.0,1.0,0.2721201652585419,0.440581405540532,0.0,1.0,0.0
0.7000000000000001,14,1.0,1.0,0.3353940876724114,0.427341276625046,0.25,0.75,0.0
0.7000000000000001,15,1.0,1.0,0.30889463732734285,0.4296160091941753,0.25,0.75,0.0
0.7000000000000001,16,1.0,1.0,0.3365022631763553,0.42174628862718866,0.25,0.75,0.0
0.7000000000000001,17,1.0,1.0,0.3087399856018348,0.4241721198957647,0.0,0.75,0.25
0.7000000000000001,18,1.0,1.0,0.29943990186785935,0.43657956843025875,0.25,0.5,0.25
0.7000000000000001,19,1.0,1.0,0.3112459782546217,0.42689280725448125,0.25,0.75,0.0
0.7000000000000001,20,1.0,1.0,0.322775031457659,0.425138111982122,0.0,0.25,0.75
0.7000000000000001,21,1.0,1.0,0.31171744364042814,0.42679306615184504,0.0,1.0,0.0
0.7000000000000001,22,1.0,1.0,0.29202396536604164,0.43296648218186995,0.0,0.5,0.5
0.7000000000000001,23,1.0,1.0,0.32889892124462417,0.42123947214383123,0.25,0.0,0.75
0.7000000000000001,24,1.0,1.0,0.3126308969304724,0.42740950538811945,0.0,1.0,0.0
0.7000000000000001,25,1.0,1.0,0.2907876494447804,0.4285844004735114,0.25,0.75,0.0
0.7000000000000001,26,1.0,1.0,0.2853141509109699,0.4372074938275058,0.0,0.25,0.75
0.7000000000000001,27,1.0,1.0,0.3158447023623522,0.43215966221056473,0.25,0.0,0.75
0.7000000000000001,28,1.0,1.0,0.3221528895043499,0.42528089570276906,0.0,0.75,0.25
0.7000000000000001,29,1.0,1.0,0.28573677291959465,0.43532324995695026,0.25,0.5,0.25
0.8,0,1.0,1.0,0.2211450966573283,0.4746651279854809,0.0,0.25,0.75
0.8,1,1.0,1.0,0.2321336558163804,0.47662574066028196,0.25,0.75,0.0
0.8,2,1.0,1.0,0.23086296998882255,0.47968159309002417,0.0,0.5,0.5
0.8,3,1.0,1.0,0.22135931646607498,0.47696870107025796,0.0,1.0,0.0
0.8,4,1.0,1.0,0.20224046567047563,0.47688598356631645,0.0,0.75,0.25
0.8,5,1.0,1.0,0.23914752907679082,0.4795832078929744,0.0,0.75,0.25
0.8,6,1.0,1.0,0.23072373146907407,0.474305348526216,0.25,0.75,0.0
0.8,7,1.0,1.0,0.22461289300439202,0.46779254115375074,0.25,0.5,0.25
0.8,8,1.0,1.0,0.22995068338173166,0.4736700460569934,0.0,0.5,0.5
0.8,9,1.0,1.0,0.2328319844744487,0.47172658363272485,0.0,0.75,0.25
0.8,10,1.0,1.0,0.23051867144104077,0.47239335174232283,0.0,0.75,0.25
0.8,11,1.0,1.0,0.25321923523708906,0.46921493221099037,0.0,0.75,0.25
