topology,n_nodes,seed,n_qubits,solver,objective,runtime_s,violations,approximation_ratio
C,10,19,12,SimulatedAnnealing,1.154364081820276,0.014469369009020738,0,1.0
C,10,19,12,Exact,1.154364081820276,0.0003095660067629069,0,1.0
C,10,19,12,QAOA(p=2),1.154364081820276,1.2669472200068412,0,1.0
C,10,20,12,Greedy,1.110941062213989,1.1473995982669294e-05,0,1.0
C,10,20,12,MILP,1.110941062213989,0.0010756330011645332,0,1.0
C,10,20,12,SimulatedAnnealing,1.110941062213989,0.012626888012164272,0,1.0
C,10,20,12,Exact,1.110941062213989,0.00027738799690268934,0,1.0
C,10,20,12,QAOA(p=2),1.2445602449273068,1.4624269649939379,0,1.1202756719128095
C,10,21,12,Greedy,0.6491628435401537,1.2226999388076365e-05,0,1.0
C,10,21,12,MILP,0.6491628435401537,0.0010559540096437559,0,1.0
C,10,21,12,SimulatedAnnealing,0.6491628435401537,0.013169750003726222,0,1.0
C,10,21,12,Exact,0.6491628435401537,0.0002986659965245053,0,1.0
C,10,21,12,QAOA(p=2),0.6491628435401537,1.5716891810006928,0,1.0
C,10,22,12,Greedy,0.5079796096595288,1.1406009434722364e-05,0,1.0
C,10,22,12,MILP,0.5079796096595288,0.0009379069961141795,0,1.0
C,10,22,12,SimulatedAnnealing,0.5079796096595288,0.011529430004884489,0,1.0
C,10,22,12,Exact,0.5079796096595288,0.00026174099184572697,0,1.0
C,10,22,12,QAOA(p=2),0.5079796096595288,1.2942665250011487,0,1.0
C,10,23,12,Greedy,0.9107957492026344,1.3369994121603668e-05,0,1.0
C,10,23,12,MILP,0.9107957492026344,0.001116397004807368,0,1.0
C,10,23,12,SimulatedAnnealing,0.9107957492026344,0.015276749996701255,0,1.0
C,10,23,12,Exact,0.9107957492026344,0.00031329700141213834,0,1.0
C,10,23,12,QAOA(p=2),0.9563441906792036,0.9713636280066567,0,1.0500095015995026
C,10,24,12,Greedy,0.4478971008725239,1.1958996765315533e-05,0,1.0
C,10,24,12,MILP,0.4478971008725239,0.0009065339982043952,0,1.0
C,10,24,12,SimulatedAnnealing,0.4478971008725239,0.011935927002923563,0,1.0
C,10,24,12,Exact,0.4478971008725239,0.00027207999664824456,0,1.0
C,10,24,12,QAOA(p=2),0.4478971008725239,1.4426939629920525,0,1.0
C,10,25,12,Greedy,0.7955902286833805,1.2346004950813949e-05,0,1.0
C,10,25,12,MILP,0.7955902286833805,0.001013657994917594,0,1.0
C,10,25,12,SimulatedAnnealing,0.7955902286833805,0.012380341999232769,0,1.0
C,10,25,12,Exact,0.7955902286833805,0.0002623510081321001,0,1.0
C,10,25,12,QAOA(p=2),0.7955902286833805,1.1904047599964542,0,1.0
C,10,26,12,Greedy,0.48220269060105636,1.4025994460098445e-05,0,1.0
C,10,26,12,MILP,0.48220269060105636,0.001054752996424213,0,1.0
C,10,26,12,SimulatedAnnealing,0.48220269060105636,0.013170831007300876,0,1.0
C,10,26,12,Exact,0.48220269060105636,0.00033881800482049584,0,1.0
C,10,26,12,QAOA(p=2),0.48220269060105636,1.4371992249944014,0,1.0
C,10,27,12,Greedy,1.05892991522677,1.2998003512620926e-05,0,1.0
C,10,27,12,MILP,1.05892991522677,0.0011188749922439456,0,1.0
C,10,27,12,SimulatedAnnealing,1.05892991522677,0.012931663004565053,0,1.0
C,10,27,12,Exact,1.05892991522677,0.00029549599275924265,0,1.0
C,10,27,12,QAOA(p=2),1.05892991522677,1.1749541379977018,0,1.0
C,10,28,12,Greedy,0.30730411053882634,1.2098011211492121e-05,0,1.0
C,10,28,12,MILP,0.30730411053882634,0.001016374008031562,0,1.0
C,10,28,12,SimulatedAnnealing,0.30730411053882634,0.01255269700777717,0,1.0
C,10,28,12,Exact,0.30730411053882634,0.0002843149995896965,0,1.0
C,10,28,12,QAOA(p=2),0.4835726223588175,1.223459962013294,1,1.5735963359257459
C,10,29,12,Greedy,0.9314520573553651,1.2488002539612353e-05,0,1.0
C,10,29,12,MILP,0.9314520573553651,0.0011162580049131066,0,1.0
C,10,29,12,SimulatedAnnealing,0.9314520573553651,0.013134020002325997,0,1.0
