seed,ablation,full_objective_of_ablated_solution,delta_vs_full
9,NoComputeCost (w_C=0),1.324136649363595,0.12508608776022356
9,NoDisruption (w_D=0),1.1990505616033715,0.0
9,NoSecurityFloor (penalty=0),11.498418895391382,10.29936833378801
10,Full,1.1495530149261128,0.0
10,NoRisk (w_R=0),1.2944697522135584,0.14491673728744559
10,NoKeyPool (w_K=0),1.1495530149261128,0.0
10,NoComputeCost (w_C=0),1.4094224333511534,0.2598694184250405
10,NoDisruption (w_D=0),1.1495530149261128,0.0
10,NoSecurityFloor (penalty=0),6.5063413448264384,5.356788329900326
11,Full,1.3251676100333043,0.0
11,NoRisk (w_R=0),1.5234167488121386,0.19824913877883432
11,NoKeyPool (w_K=0),1.3251676100333043,0.0
11,NoComputeCost (w_C=0),1.4969874923487794,0.17181988231547507
11,NoDisruption (w_D=0),1.3661442668983454,0.04097665686504115
11,NoSecurityFloor (penalty=0),11.112632819735182,9.787465209701878
12,Full,1.2962759363911687,0.0
12,NoRisk (w_R=0),1.4508118715208695,0.15453593512970087
12,NoKeyPool (w_K=0),1.2962759363911687,0.0
12,NoComputeCost (w_C=0),1.6438535665323002,0.3475776301411315
12,NoDisruption (w_D=0),1.2962759363911687,0.0
12,NoSecurityFloor (penalty=0),6.514634197836244,5.218358261445076
13,Full,0.7794306731113068,0.0
13,NoRisk (w_R=0),0.8631807625884562,0.08375008947714946
13,NoKeyPool (w_K=0),0.7794306731113068,0.0
13,NoComputeCost (w_C=0),0.882326698613312,0.10289602550200527
13,NoDisruption (w_D=0),0.7794306731113068,0.0
13,NoSecurityFloor (penalty=0),0.7794306731113068,0.0
14,Full,1.4845920406055768,0.0
14,NoRisk (w_R=0),1.4845920406055768,0.0
14,NoKeyPool (w_K=0),1.4845920406055768,0.0
14,NoComputeCost (w_C=0),1.6562544251839029,0.17166238457832605
14,NoDisruption (w_D=0),1.4845920406055768,0.0
14,NoSecurityFloor (penalty=0),13.327146609293322,11.842554568687746
15,Full,1.1707638352907566,0.0
15,NoRisk (w_R=0),1.2643076378249418,0.09354380253418526
15,NoKeyPool (w_K=0),1.1707638352907566,0.0
15,NoComputeCost (w_C=0),1.5217377594254344,0.3509739241346779
15,NoDisruption (w_D=0),1.1707638352907566,0.0
15,NoSecurityFloor (penalty=0),5.709807008029173,4.539043172738417
16,Full,1.3372691034252,0.0
16,NoRisk (w_R=0),1.5756142835798244,0.23834518015462436
16,NoKeyPool (w_K=0),1.3372691034252,0.0
16,NoComputeCost (w_C=0),1.6151842782702488,0.2779151748450488
16,NoDisruption (w_D=0),1.408367667780027,0.07109856435482698
16,NoSecurityFloor (penalty=0),13.25694408140825,11.91967497798305
17,Full,1.7525262062285378,0.0
17,NoRisk (w_R=0),1.8804202624984327,0.12789405626989492
17,NoKeyPool (w_K=0),1.7525262062285378,0.0
17,NoComputeCost (w_C=0),1.8819410212734624,0.12941481504492458
17,NoDisruption (w_D=0),1.7525262062285378,0.0
17,NoSecurityFloor (penalty=0),14.132380726496933,12.379854520268395
18,Full,1.6733940567490038,0.0
18,NoRisk (w_R=0),1.8033785406451557,0.12998448389615191
